strain,gisaid_epi_isl,originating_lab,submitting_lab,authors
hCoV-19/Venezuela/Voy3716/2022,EPI_ISL_17162715,CasaLAB - Laboratorio de pruebas PCR,Laboratorio de Virologia Molecular - Instituto Venezolano de Investigaciones Científicas (IVIC),"Rossana C Jaspe, Yoneira Sulbaran, Zoila Moros, Carmen L Loureiro, Pierina D´Angelo, Lieska Rodríguez, José Luis Zambrano, Héctor R Rangel, Flor H Pujol"
hCoV-19/Guatemala/7879-LNS/2022,EPI_ISL_14766748,"Laboratorio Nacional de Salud (LNS), Guatemala","Laboratorio Nacional de Salud (LNS), Guatemala","Mendoza L, Perez M, Calan K"
hCoV-19/Hungary/MBL-18860/2022,EPI_ISL_17033714,Hungarian Defence Forces Medical Centre COVID Laboratory,Hungarian Defence Forces Medical Centre Epidemiological and Scientific Research Institute,"Csaba István Pereszlényi, Gábor Dudás, Krisztián Tóth, Andrea Kiss, Ágnes Nagy"
hCoV-19/Guatemala/7878-LNS/2022,EPI_ISL_14766747,"Laboratorio Nacional de Salud (LNS), Guatemala","Laboratorio Nacional de Salud (LNS), Guatemala","Mendoza L, Perez M, Calan K"
hCoV-19/Aruba/AW-RIVM-123949/2022,EPI_ISL_16601297,Dutch COVID-19 response team,National Institute for Public Health and the Environment (RIVM),"Adam Meijer, Harry Vennema, Dirk Eggink, Jeroen Cremer, Sharon van den Brink, Bas van der Veer, AnneMarie van den Brandt, Lisa Wijsman, Kim Freriks, Ryanne Jaarsma, Lynn Aarts, Sanne Bos, Jil Kocken, Jordy de Bakker, Afke Vogelzang, Floor Fontein, Florian Zwagemaker, Dennis Schmitz, Annelies Kroneman, Karim Hajji, Ivo van Walle, Chantal Reusken, on behalf of the national COVID-19 response team"
hCoV-19/Venezuela/Dtto7737/2023,EPI_ISL_17162712,Laboratorio de Virologia Molecular - Instituto Venezolano de Investigaciones Científicas (IVIC),Laboratorio de Virologia Molecular - Instituto Venezolano de Investigaciones Científicas (IVIC),"Rossana C Jaspe, Yoneira Sulbaran, Zoila Moros, Carmen L Loureiro, Pierina D´Angelo, Lieska Rodríguez, José Luis Zambrano, Héctor R Rangel, Flor H Pujol"
hCoV-19/Venezuela/Mir3909/2023,EPI_ISL_17162711,Laboratorio de Virologia Molecular - Instituto Venezolano de Investigaciones Científicas (IVIC),Laboratorio de Virologia Molecular - Instituto Venezolano de Investigaciones Científicas (IVIC),"Rossana C Jaspe, Yoneira Sulbaran, Zoila Moros, Carmen L Loureiro, Pierina D´Angelo, Lieska Rodríguez, José Luis Zambrano, Héctor R Rangel, Flor H Pujol"
hCoV-19/New Zealand/22CH1280/2022,EPI_ISL_10626246,Waikato Hospital,Institute of Environmental Science and Research (ESR),"Sarah Cockerton, Clare Gebbie, Dhanisha Patel, Rachel Boyle, SallyAnn Harbison, Olivia Stroeven, Xiaoyun Ren, Matt Storey, Nikki Freed, Muhammad Faisal, Jing Wang, Hermes Perez, Anja Werno, Antje van der Linden, Arlo Upton, Chris Mansell, David Hammer, Dragana Drinkovic, Gary McAuliffe, Hana Sofia Andersson, James Ussher, Jill Sherwood, Josh Freeman, Julia Howard, Juliet Elvy, Mary DeAlmeida, Matt Blakiston, Matthew Rogers, Max Bloomfield, Michael Addidle, Michelle Balm, Sally Roberts, Sarah Jefferies, Sharmini Muttaiyah, Susan Morpeth, Susan Taylor, Timothy Blackmore, Vani Sathyendran, Veronica Playle, Virginia Hope, Erasmus Smit, Lauren Jelly, Olin Silander, Joep de Ligt"
hCoV-19/Brazil/PE-UFPE091/2020,EPI_ISL_15496569,Nucleo de Pesquisa em Inovacao Terapeutica - UFPE,"LABBE, Federal University of Pernambuco","Wilson Jose da Silva Junior, Marcos da Silveira Regueira Neto, Heidi Lacerda Alves da Cruz, Bruno Sampaio, Reginaldo Goncalves de Lima Neto, Maira Galdino da Rocha Pitta, Michelly Cristiny Pereira, Marco Katzenberger, Valdir de Queiroz Balbino"
hCoV-19/Aruba/AW-RIVM-123939/2022,EPI_ISL_16601293,Dutch COVID-19 response team,National Institute for Public Health and the Environment (RIVM),"Adam Meijer, Harry Vennema, Dirk Eggink, Jeroen Cremer, Sharon van den Brink, Bas van der Veer, AnneMarie van den Brandt, Lisa Wijsman, Kim Freriks, Ryanne Jaarsma, Lynn Aarts, Sanne Bos, Jil Kocken, Jordy de Bakker, Afke Vogelzang, Floor Fontein, Florian Zwagemaker, Dennis Schmitz, Annelies Kroneman, Karim Hajji, Ivo van Walle, Chantal Reusken, on behalf of the national COVID-19 response team"
hCoV-19/Lebanon/5612/2021,EPI_ISL_13829900,"National Influenza Center, Rafic Hariri University Hospital",The Francis Crick Institute,"Jammal N, Mroueh L, Abbass H, Zalghout A, Albuaini M, Ghosn N, Fowler A, Crawford M, Patel H, Harvey R, Goldstone R, Daniels RS, Nicod J"
hCoV-19/Bonaire/BQ-RIVM-53892/2021,EPI_ISL_3918621,Dutch COVID-19 response team,National Institute for Public Health and the Environment (RIVM),"Adam Meijer, Harry Vennema, Dirk Eggink, Jeroen Cremer, Sharon van den Brink, Bas van der Veer, AnneMarie van den Brandt, Lisa Wijsman, Kim Freriks, Ryanne Jaarsma, Euníce Then, Lynn Aarts, Sanne Bos, Stijn van Rossum, Florian Zwagemaker, Dennis Schmitz, Annelies Kroneman, Karim Hajji, Ivo van Walle, Chantal Reusken, on behalf of the national COVID-19 response team"
hCoV-19/Curacao/CW-RIVM-121100/2022,EPI_ISL_16296240,Dutch COVID-19 response team,National Institute for Public Health and the Environment (RIVM),"Adam Meijer, Harry Vennema, Dirk Eggink, Jeroen Cremer, Sharon van den Brink, Bas van der Veer, AnneMarie van den Brandt, Lisa Wijsman, Kim Freriks, Ryanne Jaarsma, Lynn Aarts, Sanne Bos, Jil Kocken, Jordy de Bakker, Afke Vogelzang, Florian Zwagemaker, Dennis Schmitz, Annelies Kroneman, Karim Hajji, Ivo van Walle, Chantal Reusken, on behalf of the national COVID-19 response team"
hCoV-19/Chad/TCH-29/2021,EPI_ISL_9274866,Ministère de Santé Publique et de la Solidarité Nationale,"Pathogen Genomics Lab, National Institute for Biomedical Research (INRB)","Placide Mbala-Kingebeni, Frank Edgard ZONGO Ragomzingba, Edith Nkwembe, Eddy Kinganda-Lusamaki, Amuri Aziza, Francisca Muyembe Mawete, Emmanuel Lokilo Lofiko, Gradi Luakanda, Jean Claude Makangara, Raphael Lumembe, Gabriel Kabamba, Catherine Pratt, Matthias Pauthner, Josh Quick, Trevor Bedford, Ian Goodfellow, Andrew Rambaut, Nick Loman, Michael Wiley, Steve Ahuka-Mundeke, Jean-Jacques Muyembe Tamfum"
hCoV-19/Bahrain/341725942/2021,EPI_ISL_1660464,"Communicable Disease Laboratory, Public Health Directorate","Communicable Disease Laboratory, Public Health Directorate","Alwasti,H., AlHujairi,Z., AlAbbas,Z., Marhoon,A., Almoamen,G."
hCoV-19/South Korea/KDCA23449/2021,EPI_ISL_8192634,"Division of Emerging Infectious Diseases, Bureau of Infectious Diseases Diagnosis Control, Korea Disease Control and Prevention Agency","Division of Emerging Infectious Diseases, Bureau of Infectious Diseases Diagnosis Control, Korea Disease Control and Prevention Agency","Jeong-Ah Kim, Ae Kyung Park, Il-Hwan Kim, Chae Young Lee, Hyuck Jin Lee, Eun-Jin Kim"
hCoV-19/Egypt/C-CEIRS-19 MOH/2020,EPI_ISL_605780,"CEIRS Data Processing and Coordinating Center, St. Jude Center of Excellence for Influenza Research and Surveillance (CEIRS)","CEIRS Data Processing and Coordinating Center, St. Jude Center of Excellence for Influenza Research and Surveillance (CEIRS)","Roshdy, W.H., Kayed, A.E., Naguib, A., Kamel, M.N., El-Taweel, A., El-Shesheny, R., Kandeil, A., Mostafa, A., Shehata, M., Gomaa, M., Mahmoud, S.H., Moatasim, Y., Kutkat, O., Mahrous, N., El-Sayes, M., Showky, S., El-Guindy, N.M., Webby, R., Kayali, G., Ali, M.A."
hCoV-19/Malaysia/IMR-WI120/2020,EPI_ISL_718276,"Institute for Medical Research, Infectious Disease Research Centre, National Institutes of Health, Ministry of Health Malaysia","Institute for Medical Research, Infectious Disease Research Centre, National Institutes of Health, Ministry of Health Malaysia","Suppiah J, Kamel K, Mohd-Zawawi Z, Thayan R"
hCoV-19/Lithuania/MB31088/2022,EPI_ISL_16473893,VsI Kauno miesto poliklinika,National Public Health Surveillance Laboratory,"Lukas Zemaitis, Jelena Razmuk, Patricija Kaulakyte, Gabija Tamoliunaite, Lukas Vasionis"
hCoV-19/Saudi Arabia/KAUST578/2022,EPI_ISL_17088895,King Faisal Specialist Hospital & Research Center,Pathogen Genomics Lab King Abdullah University of Science and Technology (KAUST),"Sabir A Adoub, Rohit Satyam, Ghadeer Albishi, Tobias Mourier, Danna Briyit Trejos Vidal, Muhammad Shuaib, Arnab Pain, Ashraf Dada"
hCoV-19/Saudi Arabia/KAUST581/2022,EPI_ISL_17088898,King Faisal Specialist Hospital & Research Center,Pathogen Genomics Lab King Abdullah University of Science and Technology (KAUST),"Sabir A Adoub, Rohit Satyam, Ghadeer Albishi, Tobias Mourier, Danna Briyit Trejos Vidal, Muhammad Shuaib, Arnab Pain, Ashraf Dada"
hCoV-19/Mexico/NLE_LANGEBIO_IMSS_0763/2022,EPI_ISL_16205030,Centro de Investigacion Biomedica del Noreste (CIBIN),Unidad de Genomica Avanzada,"Consorcio Mexicano de Vigilancia Genomica (CoViGen-Mex). Authors (in last name alphabetical order): Julio Elias Alvarado-Yaah, Carlos F. Arias, Eduardo Becerril-Vargas, David Alejandro Cabrera-Gaytan, Guillermo Corona Armenta, Cristóbal Chaidez-Quiroz, Hermilo Dominguez-Zarate, Julissa Enciso-Ibarra, Gloria Espinosa-Ayala, Daniel Fregoso-Rueda, Alejandra Garcia-Gasca, Rodrigo Garcia-López, Bruno Gomez-Gil, Jean Pierre Gonzalez, Irvin Gonzalez-López, Ricardo Grande, Alfredo Herrera-Estrella, Carla Ivon Herrera-Najera, Beatriz Jimenez-Moraila, Daniel Lira-Morales, Brenda Irasema Maldonado-Meza, Maria Guadalupe Marquez-Rosales, Julio Cesar Martínez-Alvarez, Bernardo Martínez-Miguel, Gabriela Bibiana Martinez-Morales, Celida Martinez-Rodriguez, Fidencio Mejía-Nepomuceno, María Guadalupe de Jesus Mireles-Rivera, Gloria María Molina-Salinas, Hector Montoya-Fuentes, Mario Mujica-Sánchez, Jose Esteban Munoz-Medina, José de Jesús Nunez-Contreras, Ilse Patricia Salinas-Peralta, Bruno Tonatiuh Rivas-Santiago, Mauricio Rosales-Rivera, Jorge Salas-Hernandez, Angel Gustavo Salas-Lais, Alejandro Sanchez-Flores, Clara Esperanza Santacruz-Tinoco, Nelly Selem-Mojica, Blanca Taboada, Gloria Vazquez, Joel Armando Vazquez-Perez."
hCoV-19/Aruba/AW-RIVM-126297/2023,EPI_ISL_16963525,Dutch COVID-19 response team,National Institute for Public Health and the Environment (RIVM),"Adam Meijer, Harry Vennema, Dirk Eggink, Jeroen Cremer, Sharon van den Brink, Bas van der Veer, AnneMarie van den Brandt, Lisa Wijsman, Kim Freriks, Ryanne Jaarsma, Lynn Aarts, Sanne Bos, Jil Kocken, Jordy de Bakker, Afke Vogelzang, Zarif MansoerAziem Elahi, Floor Fontein, Trung Bui, Florian Zwagemaker, Dennis Schmitz, Annelies Kroneman, Karim Hajji, Ivo van Walle, Chantal Reusken, on behalf of the national COVID-19 response team"
hCoV-19/Ecuador/NIC-INSPI-8104231/2022,EPI_ISL_15899063,INSPI-CRN DE INFLUENZA Y OTROS VIRUS RESPIRATORIOS-INTERLAB,INSPI-CRN DE INFLUENZA Y OTROS VIRUS RESPIRATORIOS,"Alfredo Bruno, Michelle Páez, Jimmy Garcés, Maritza Olmedo, Stephania Almeida, Ana Márquez, Daniela Bravo, David Fernández, Paula Gavilanes, Juan Carlos Fernández Cadena, Diego Morales, Rubén Armas"
hCoV-19/Australia/NSW-ICPMR-40619/2023,EPI_ISL_16495684,Pathology West - NSW Health Pathology,"Institute Of Clinical Pathology And Medical Research (ICPMR), Westmead Hospital","Arnott A., Draper J., Gall M., Martinez E., Rockett R., Sintchenko V., on behalf of ICPMR"
hCoV-19/Mauritius/161755/2021,EPI_ISL_3231406,Airport Health Laboratory/Central Health Laboratory,UMR PIMIT,"Manraj SS, Sonoo J, Bahadoor BS,Ramuth M,Pattoo M, David Wilkinson, Patrick Mavingui"
hCoV-19/Tunisia/Q2835/2021,EPI_ISL_11172680,"Laboratory of Clinical Virology, Institut Pasteur de Tunis","Laboratory of Clinical Virology, Institut Pasteur de Tunis","Haifa Jmel, Marwa Khedhiri, Kais Ghedira, Wasfi Fares, Maroua Boujemaa, Yosr Hamdi, Chaima Hkimi, Nouha Jandoubi, Selim kamoun, Nadia Khriji, Nessrine Mezzi, Najah Mighri, Rahma Mkaouar, Houcemeddine Othman, Lilia Romdhane, Ridha Mrad, Amira Jamoussi, Agnes Hamzaoui, Sonia Abdelhak,Henda Triki, Rym Kefi"
hCoV-19/Ecuador/NIC-INSPI-8102150/2022,EPI_ISL_15899065,INSPI-CRN DE INFLUENZA Y OTROS VIRUS RESPIRATORIOS-INTERLAB,INSPI-CRN DE INFLUENZA Y OTROS VIRUS RESPIRATORIOS,"Alfredo Bruno, Michelle Páez, Jimmy Garcés, Maritza Olmedo, Stephania Almeida, Ana Márquez, Daniela Bravo, David Fernández, Paula Gavilanes, Juan Carlos Fernández Cadena, Diego Morales, Rubén Armas"
hCoV-19/Bonaire/BQ-RIVM-119344/2022,EPI_ISL_16007480,Dutch COVID-19 response team,National Institute for Public Health and the Environment (RIVM),"Adam Meijer, Harry Vennema, Dirk Eggink, Jeroen Cremer, Sharon van den Brink, Bas van der Veer, AnneMarie van den Brandt, Lisa Wijsman, Kim Freriks, Ryanne Jaarsma, Lynn Aarts, Sanne Bos, Jil Kocken, Jordy de Bakker, Afke Vogelzang, Florian Zwagemaker, Dennis Schmitz, Annelies Kroneman, Karim Hajji, Ivo van Walle, Chantal Reusken, on behalf of the national COVID-19 response team"
hCoV-19/Nigeria/ISTH-E0406/2022,EPI_ISL_15984497,"Irrua Specialist Teaching Hospital, ISTH","""Irrua Specialist Teaching Hospital, ISTH, and the Bernhard Nocht Institute for Tropical Medicine, BNITM""","""Sylvanus Okogbenin, Cyril Erameh, Sophie Duraffour, Stephan Guenther"""
hCoV-19/Bonaire/BQ-RIVM-119347/2022,EPI_ISL_16007483,Dutch COVID-19 response team,National Institute for Public Health and the Environment (RIVM),"Adam Meijer, Harry Vennema, Dirk Eggink, Jeroen Cremer, Sharon van den Brink, Bas van der Veer, AnneMarie van den Brandt, Lisa Wijsman, Kim Freriks, Ryanne Jaarsma, Lynn Aarts, Sanne Bos, Jil Kocken, Jordy de Bakker, Afke Vogelzang, Florian Zwagemaker, Dennis Schmitz, Annelies Kroneman, Karim Hajji, Ivo van Walle, Chantal Reusken, on behalf of the national COVID-19 response team"
hCoV-19/Vietnam/VNHN_4806/2020,EPI_ISL_455711,National Hospital of Tropical Diseases,"Oxford University Clinical Research Unit, Hanoi, Vietnam","Nguyen Thi Tam, Van Dinh Trang, Nguyen Thu Trang, Nguyen Thi Ngoc Diep, Le Nguyen Minh Hoa, Pham Ngoc Thach, H. Rogier van Doorn, on behalf of the OUCRU COVID-19 research group"
hCoV-19/New Zealand/23YA1244/2023,EPI_ISL_17252795,Medlab Central (PN),Institute of Environmental Science and Research (ESR),"Sarah Cockerton, Clare Gebbie, Dhanisha Patel, Rachel Boyle, SallyAnn Harbison, Olivia Stroeven, Xiaoyun Ren, Matt Storey, Nikki Freed, Muhammad Faisal, Jing Wang, Hermes Perez, Bethany Forsythe, Anja Werno, Antje van der Linden, Arlo Upton, Chris Mansell, David Hammer, Dragana Drinkovic, Gary McAuliffe, Hana Sofia Andersson, James Ussher, Jill Sherwood, Josh Freeman, Julia Howard, Juliet Elvy, Mary DeAlmeida, Matt Blakiston, Matthew Rogers, Max Bloomfield, Michael Addidle, Michelle Balm, Sally Roberts, Sarah Jefferies, Sharmini Muttaiyah, Susan Morpeth, Susan Taylor, Timothy Blackmore, Vani Sathyendran, Veronica Playle, Virginia Hope, Erasmus Smit, Yoryea Mantziou-Hogg, Lauren Jelly, Olin Silander, Kirti Deo, Ana Claasen, Subin Jeon, Joep de Ligt, David Winter, Abbey Huriwai, Anju Keenan, Laura Kerr, Tisiola Talalima, Amy Bradhsaw, Klarysse Berquist"
hCoV-19/Saudi Arabia/KAUST577/2022,EPI_ISL_17088894,King Faisal Specialist Hospital & Research Center,Pathogen Genomics Lab King Abdullah University of Science and Technology (KAUST),"Sabir A Adoub, Rohit Satyam, Ghadeer Albishi, Tobias Mourier, Danna Briyit Trejos Vidal, Muhammad Shuaib, Arnab Pain, Ashraf Dada"
hCoV-19/Bonaire/BQ-RIVM-119342/2022,EPI_ISL_16007478,Dutch COVID-19 response team,National Institute for Public Health and the Environment (RIVM),"Adam Meijer, Harry Vennema, Dirk Eggink, Jeroen Cremer, Sharon van den Brink, Bas van der Veer, AnneMarie van den Brandt, Lisa Wijsman, Kim Freriks, Ryanne Jaarsma, Lynn Aarts, Sanne Bos, Jil Kocken, Jordy de Bakker, Afke Vogelzang, Florian Zwagemaker, Dennis Schmitz, Annelies Kroneman, Karim Hajji, Ivo van Walle, Chantal Reusken, on behalf of the national COVID-19 response team"
hCoV-19/Curacao/CW-RIVM-121096/2022,EPI_ISL_16296236,Dutch COVID-19 response team,National Institute for Public Health and the Environment (RIVM),"Adam Meijer, Harry Vennema, Dirk Eggink, Jeroen Cremer, Sharon van den Brink, Bas van der Veer, AnneMarie van den Brandt, Lisa Wijsman, Kim Freriks, Ryanne Jaarsma, Lynn Aarts, Sanne Bos, Jil Kocken, Jordy de Bakker, Afke Vogelzang, Florian Zwagemaker, Dennis Schmitz, Annelies Kroneman, Karim Hajji, Ivo van Walle, Chantal Reusken, on behalf of the national COVID-19 response team"
hCoV-19/Tunisia/SP-0154/2021,EPI_ISL_2035941,Pasteur Institute - Laboratory of Clinical Virology,Pasteur Institute - Laboratory of Clinical Virology,"Wasfi Fares, Kais Ghedira, Mariem Gdoura, Anissa Chouikha, Sondos Haddad, Henda Triki"
hCoV-19/Mongolia/UB-98219/2022,EPI_ISL_15607951,National Center for Communicable Diseases (NCCD) National Influenza Center,National Center for Communicable Diseases (NCCD) National Influenza Center,"Bayasgalan Namuutsetseg, Naranzul Tsedenbal, Khishigmunkh Chimedregzen, Seiichiro Fujisaki, Mina Nakauchi, Hideka Miura, Shinji Watanabe, Tsogzolmaa Ganbold, Bumdelger Bayanmunkh, Darmaa Badarch, Nymadawa Pagvajav, Bilegtsaikhan Tsolmon"
hCoV-19/Dominican Republic/2086405-LNSPDD/2022,EPI_ISL_15664934,Laboratorio Nacional de Salud Pública Dr. Defilló,Laboratorio Nacional de Salud Pública Dr. Defilló,"Isaac Miguel Sánchez, Carlos Vergara Castillo, Francisco Cuevas, Edwin Féliz, Anny Peña, Pedro Martinez, Yeny E. Lara Perez, Robinson Agramonte"
hCoV-19/Costa Rica/INC-9091-778620/2022,EPI_ISL_16523879,HOSPITAL DR. FERNANDO ESCALANTE PRADILLA,"Inciensa, Instituto de Investigación y Enseñanza en Nutrición y Salud","Francisco Duarte, Hebleen Porras, Claudio Soto-Garita, Estela Cordero, Adriana Godínez, Melany Calderón, José Luis Vargas, Mariela Gutiérrez, Sofia Herrera, Natalia Bonilla & Lizeth Blanco Porras"
hCoV-19/Singapore/12108/2022,EPI_ISL_15231787,"National Public Health Laboratory, National Centre for Infectious Diseases","National Public Health Laboratory, National Centre for Infectious Diseases","Yichen Ding, Benny Yeo, Grace Ngan, Zhenyang Zhou, Royce Ang, Samuel Loo, BeiBei Chen, Jesslin Tan, Chen Shi Ling, Lin Cui, Raymond Tzer Pin Lin"
hCoV-19/Japan/TKYhug15114/2022,EPI_ISL_16952428,Tokyo Metropolitan Institute of Public Health,Tokyo Metropolitan Institute of Public Health,"Akane Negishi, Sachiko Harada, Ryota Kumagai, Ai Suzuki, Fumi Kasuya, Kenshiro Kuroki, Arisa Amano, Maya Isogai, Hitoshi Ito, Shota Yokota, Takushi Fujiwara, Hirofumi Miyake, Mami Nagashima, Kenji Sadamasu"
hCoV-19/Georgia/Tb-sNGS6300/2022,EPI_ISL_15656085,Central Republican Hospital,"Department for Virology, Molecular Biology and Genome Research, R. G. Lugar Center for Public Health Research, National Center for Disease Control and Public Health (NCDC) of Georgia.","Giorgi Tomashvili, Giorgi Gogoladze, Meri Pantsulaia, Gvantsa Brachveli, Ana Papkiauri, Salome Javashvili, Gvantsa Chanturia, Ann Machablishvili, Paata Imnadze"
hCoV-19/Paraguay/479406/2022,EPI_ISL_15664939,Laboratorio Central de Salud Pública,Laboratorio Central de Salud Pública,"Sandra González, Andrea Gómez de la Fuente, Tania Alfonzo, Julio Barrios, César Cantero, Cynthia Vazquez, Shirley Villalba, Juan Torales, Maria Liz Gamarra, Fátima Fleitas, Analía Rojas, María Jose Duarte, Emmanuel Céspedes, Ivana Fernández, César Ojeda, Wilson Benítez."
hCoV-19/Finland/P14442/2021,EPI_ISL_6240787,"Department of Virology and Immunology, University of Helsinki and Helsinki University Hospital, Huslab Finland","Department of Virology, Faculty of Medicine, University of Helsinki, Helsinki, Finland","Teemu Smura, Ravi Kant, Phuoc Truong, Hussein Alburkat, Hannimari Kallio-Kokko, Jenni Virtanen, Maija Suvanto, Essi Korhonen, Sari Hannula, Harri Kangas, Hanna Liimatainen, Satu Kurkela, Hanna Jarva, Maija Lappalainen, Pekka Ellonen, Olli Vapalahti"
hCoV-19/Georgia/Tb-sNGS6299/2022,EPI_ISL_15656084,Central Republican Hospital,"Department for Virology, Molecular Biology and Genome Research, R. G. Lugar Center for Public Health Research, National Center for Disease Control and Public Health (NCDC) of Georgia.","Giorgi Tomashvili, Giorgi Gogoladze, Meri Pantsulaia, Gvantsa Brachveli, Ana Papkiauri, Salome Javashvili, Gvantsa Chanturia, Ann Machablishvili, Paata Imnadze"
hCoV-19/Mexico/NLE_LANGEBIO_IMSS_0760/2022,EPI_ISL_16205027,Centro de Investigacion Biomedica del Noreste (CIBIN),Unidad de Genomica Avanzada,"Consorcio Mexicano de Vigilancia Genomica (CoViGen-Mex). Authors (in last name alphabetical order): Julio Elias Alvarado-Yaah, Carlos F. Arias, Eduardo Becerril-Vargas, David Alejandro Cabrera-Gaytan, Guillermo Corona Armenta, Cristóbal Chaidez-Quiroz, Hermilo Dominguez-Zarate, Julissa Enciso-Ibarra, Gloria Espinosa-Ayala, Daniel Fregoso-Rueda, Alejandra Garcia-Gasca, Rodrigo Garcia-López, Bruno Gomez-Gil, Jean Pierre Gonzalez, Irvin Gonzalez-López, Ricardo Grande, Alfredo Herrera-Estrella, Carla Ivon Herrera-Najera, Beatriz Jimenez-Moraila, Daniel Lira-Morales, Brenda Irasema Maldonado-Meza, Maria Guadalupe Marquez-Rosales, Julio Cesar Martínez-Alvarez, Bernardo Martínez-Miguel, Gabriela Bibiana Martinez-Morales, Celida Martinez-Rodriguez, Fidencio Mejía-Nepomuceno, María Guadalupe de Jesus Mireles-Rivera, Gloria María Molina-Salinas, Hector Montoya-Fuentes, Mario Mujica-Sánchez, Jose Esteban Munoz-Medina, José de Jesús Nunez-Contreras, Ilse Patricia Salinas-Peralta, Bruno Tonatiuh Rivas-Santiago, Mauricio Rosales-Rivera, Jorge Salas-Hernandez, Angel Gustavo Salas-Lais, Alejandro Sanchez-Flores, Clara Esperanza Santacruz-Tinoco, Nelly Selem-Mojica, Blanca Taboada, Gloria Vazquez, Joel Armando Vazquez-Perez."
hCoV-19/Italy/EMR-BO_2367/2023,EPI_ISL_16555421,"UO Microbiologia, IRCCS Az.Ospedaliero-Universitaria di Bologna, Policlinico di S.Orsola","Unità Operativa di Microbiologia, IRCSS Policlinico di Sant'Orsola, Azienda Ospedaliero Universitaria di Bologna",Giada Rossini
hCoV-19/Papua New Guinea/PNG8411/2022,EPI_ISL_16534505,Central Public Health Laboratory,"Microbiological Diagnostic Unit - Public Health Laboratory (MDU-PHL), The Peter Doherty Institute for Infection and Immunity","Kumbu, J., Susapu, M., Palou, T., Seemann, T., Horan, K., Sherry, N.L."
hCoV-19/Brunei/CMDLID-7123012981/2023,EPI_ISL_17088404,National Virology Reference Laboratory - Departmenrt of Laboratory Services,Clinical Molecular Diagnostic Laboratory For Infectious Disease - Microbial Genomic Services,"Zainun Zaini, Nor Azian Hafneh, Haziq Momin, Nur Amirah Ibarahim, Amal Nabihah Ahmad, Nur Husnina Khairil, Maslina Abdullah"
hCoV-19/Mexico/TAM_LANGEBIO_IMSS_36054_NC/2022,EPI_ISL_15389374,Centro de Investigacion Biomedica del Noreste (CIBIN),Unidad de Genomica Avanzada,"Consorcio Mexicano de Vigilancia Genomica (CoViGen-Mex). Authors (in alphabetical order): Julio Elias Alvarado-Yaah, Carlos F. Arias, Santiago Avila-Rios, Victor Hugo Borja-Aburto, Celia Boukadida, Juan Bautista Chale-Dzul, Jose Antonio Enciso-Moreno, Gloria Elena Espinoza-Ayala, Fernando Fontove-Herrera, Concepcion Grajales-Muniz, Ricardo Grande, Alfredo Herrera-Estrella, Carla Ivon Herrera-Najera, Pavel Isa, Brenda Irasema Maldonado-Meza, Bernardo Martinez-Miguel, Margarita Matias-Florentino, Maria Guadalupe de Jesus Mireles-Rivera, Gloria Maria Molina-Salinas, Hector Montoya-Fuentes, Jose Esteban Munoz-Medina, Jose de Jesus Nunez-Contreras, Alicia Ocana-Mondragon, Luis Alberto Ochoa-Carrera, Hector Esteban Paz-Juarez, Francisco Pulido, Helen Haydee Fernanda Ramirez-Plascencia, Angel Gustavo Salas-Lais, Jorge Ivan Salinal-Nevarez, Alejandro Sanchez-Flores, Clara Esperanza Santacruz-Tinoco, Maria Guadalupe Santiago-Mauricio, Nelly Selem-Mojica, Blanca Taboada, Gloria Vazquez"
hCoV-19/Portugal/PT46499/2023,EPI_ISL_17242518,"Centro Hospitalar De Trás-Os-Montes E Alto Douro, CHTMAD",Instituto Nacional de Saude Doutor Ricardo Jorge (INSA),Borges et al
hCoV-19/Sri Lanka/aicbu6312/2023,EPI_ISL_16972005,"Allergy, Immunology and Cell Biology Unit (AICBU)","Allergy, Immunology and Cell Biology Unit (AICBU)","Chandima Jeewandara, Deshni Jayathilaka, Heshan Kuruppu, Tibutius Thanesh, Farha Bary, Dumni Guasinghe, Dinuka Ariyaratne, Ayesha Wijesinghe, Rajitha Perera, Diyanath Ranasinghe, Gathsaurie Neelika Malavige"
hCoV-19/USA/RI-ASC-210803844/2022,EPI_ISL_15884816,Aegis Sciences Corporation,Aegis Sciences Corporation,"Cyndi Clark, PhD; Alec Vest; Holly Houdeshell; Erin Arnold; Vikramsinha Ghorpade, MS; Ola Kvalvaag; Scott Folley; Rob Case; Shaun Westlund; Patrick Campbell; Matthew Hardison, PhD, FACMG, TC-NRCC, CCRP"
hCoV-19/Mongolia/UB-97224/2022,EPI_ISL_15607937,National Center for Communicable Diseases (NCCD) National Influenza Center,National Center for Communicable Diseases (NCCD) National Influenza Center,"Bayasgalan Namuutsetseg, Naranzul Tsedenbal, Khishigmunkh Chimedregzen, Seiichiro Fujisaki, Mina Nakauchi, Hideka Miura, Shinji Watanabe, Tsogzolmaa Ganbold, Bumdelger Bayanmunkh, Darmaa Badarch, Nymadawa Pagvajav, Bilegtsaikhan Tsolmon"
hCoV-19/Ukraine/63229/2021,EPI_ISL_13661799,"Reference laboratory for diagnostics of HIV/AIDS, virological and especially dangerous pathogens","Reference laboratory for diagnostics of HIV/AIDS, virological and especially dangerous pathogens","Iryna Demchyshyna, Liudmyla Chernenko, Ihor Kuzin, Vitaliia Polutranko"
